Project,Issue,Link,Patch,IssueLink,patchLink,MajorLeak,LeakType,DetectionType,DetectionMethod,DefectType,FileType,FixType,Transformation,Duration (days),files,churn,addedLines,removedLines,modifiedFiles,addedFiles,removedFiles
AMQ,AMQ-1938,https://issues.apache.org/jira/browse/AMQ-1938,https://fisheye.apache.org/rdiff/activemq-6?csid=1590da28a5b9245639e249c24c44bb28f1ae9c12&u&N,AMQ-1938,AMQ-1938,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add dispose function,0.03732913194,1,11,9,2,1,0,0
AMQ,AMQ-1974,https://issues.apache.org/jira/browse/AMQ-1974,No leak,AMQ-1974,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-2103,https://issues.apache.org/jira/browse/AMQ-2103,https://fisheye.apache.org/rdiff/activemq-6?csid=c1da3ac3bd7c7e527e5867cd09639f050d603afe&u&N,AMQ-2103,AMQ-2103,Memory,Memory,Runtime detection,Runtime,unreleasedRef,java,releaseRef,Complex,610.6220777,7,36,32,4,7,0,0
AMQ,AMQ-2138,https://issues.apache.org/jira/browse/AMQ-2138,No patch,AMQ-2138,No patch,Memory,Memory,Runtime detection,Runtime,classloader,java,releaseRef,fixed,763.0846569,0,0,0,0,0,0,0
AMQ,AMQ-2166,https://issues.apache.org/jira/browse/AMQ-2166,https://fisheye.apache.org/rdiff/activemq-6?csid=7167041ee66b3bfb2c052f6717277e85ebae92dc&u&N,AMQ-2166,AMQ-2166,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Complex,178.3582497,2,44,30,14,2,0,0
AMQ,AMQ-2178,https://issues.apache.org/jira/browse/AMQ-2178,https://fisheye.apache.org/rdiff/activemq-6?csid=84dbbc758b6eb308b993e9ede3c46cb4495fdffb&u&N,AMQ-2178,AMQ-2178,Memory,Memory,Runtime detection,Runtime,wrongAPI,java,correctAPI,Modify call argument,2.109341389,1,6,3,3,1,0,0
AMQ,AMQ-222,https://issues.apache.org/jira/browse/AMQ-222,No patch,AMQ-222,No patch,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,releaseRef,fixed,12.93356481,0,0,0,0,0,0,0
AMQ,AMQ-223,https://issues.apache.org/jira/browse/AMQ-223,No leak,AMQ-223,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-2290,https://issues.apache.org/jira/browse/AMQ-2290,https://issues.apache.org/jira/secure/attachment/12461542/SelectorParser.jj.patch,AMQ-2290,AMQ-2290,Memory,Memory,Runtime detection,Runtime,concurrency,java,threadSafe,Use another collection,3.776091065,1,2,1,1,1,0,0
AMQ,AMQ-2364,https://issues.apache.org/jira/browse/AMQ-2364,https://fisheye.apache.org/rdiff/activemq-6?csid=612437c155e9fa1c872334ce5a7d55fd60ec23e7&u&N,AMQ-2364,AMQ-2364,Memory,Memory,Runtime detection,Out-of-memory error,concurrency,java,threadSafe,Replace function,6.144050579,1,2,1,1,1,0,0
AMQ,AMQ-238,https://issues.apache.org/jira/browse/AMQ-238,No patch,AMQ-238,No patch,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,fixed,85.49237269,0,0,0,0,0,0,0
AMQ,AMQ-2426,https://issues.apache.org/jira/browse/AMQ-2426,https://issues.apache.org/jira/secure/attachment/12461532/StompSubscription.java.patch,AMQ-2426,AMQ-2426,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Modify call argument,0.1438630671,1,4,2,2,1,0,0
AMQ,AMQ-2440,https://issues.apache.org/jira/browse/AMQ-2440,https://issues.apache.org/jira/secure/attachment/12461362/AMQ-2440-1.txt,AMQ-2440,AMQ-2440,Resource,File handle,Runtime detection,Runtime,exception,java,disposeExcep,Add dispose function,155.9579157,3,19,16,3,3,0,0
AMQ,AMQ-2448,https://issues.apache.org/jira/browse/AMQ-2448,http://mail-archives.apache.org/mod_mbox/activemq-commits/201004.mbox/raw/%3C20100409133136.9061B23888C2@eris.apache.org%3E/,AMQ-2448,AMQ-2448,Memory,Memory,Runtime detection,Runtime,callSchedule,java,releaseRef,Complex,161.9504679,2,26,10,16,2,0,0
AMQ,AMQ-2530,https://issues.apache.org/jira/browse/AMQ-2530,https://fisheye.apache.org/rdiff/activemq-6?csid=c0499c83b0ed20c78221064f30781a910c12c9f8&u&N,AMQ-2530,AMQ-2530,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add call to dispose function,39.82606398,1,3,3,0,1,0,0
AMQ,AMQ-2556,https://issues.apache.org/jira/browse/AMQ-2556,https://fisheye.apache.org/rdiff/activemq-6?csid=4eafcccf6249f0936a4a83ddb3b4f078c07f70ce&u&N,AMQ-2556,AMQ-2556,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,releaseRef,Complex,87.39296369,1,3,3,0,1,0,0
AMQ,AMQ-2563,https://issues.apache.org/jira/browse/AMQ-2563,https://fisheye.apache.org/rdiff/activemq-6?csid=99d11b8e1c43aef29cf95615b76048accc76f614&u&N,AMQ-2563,AMQ-2563,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Complex,25.7458544,4,35,11,24,4,0,0
AMQ,AMQ-2706,https://issues.apache.org/jira/browse/AMQ-2706,https://fisheye.apache.org/rdiff/activemq-6?csid=4e8143711a8b4640485bb78f94c52b4f4b8bfa4f&u&N,AMQ-2706,AMQ-2706,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Modify branch condition,15.06708894,1,3,2,1,1,0,0
AMQ,AMQ-273,https://issues.apache.org/jira/browse/AMQ-273,No patch,AMQ-273,No patch,Memory,Memory,Runtime detection,Runtime,callSchedule,java,releaseRef,fixed,0.1693055556,0,0,0,0,0,0,0
AMQ,AMQ-2778,https://issues.apache.org/jira/browse/AMQ-2778,No patch,AMQ-2778,No patch,Memory,Memory,Runtime detection,Runtime,unreleasedRef,java,releaseRef,fixed,463.0245993,0,0,0,0,0,0,0
AMQ,AMQ-2838,https://issues.apache.org/jira/browse/AMQ-2838,No patch,AMQ-2838,No patch,Memory,Memory,Runtime detection,Out-of-memory error,collection,java,others,fixed,0.08543335648,0,0,0,0,0,0,0
AMQ,AMQ-2852,https://issues.apache.org/jira/browse/AMQ-2852,https://fisheye.apache.org/rdiff/activemq-6?csid=c42d8de03489baa6d6d5a3c6af42324bf4e0f37b&u&N,AMQ-2852,AMQ-2852,Resource,Thread,Runtime detection,Warning message,nonClosedRes,java,threadDown,Add a checker,238.0253097,3,16,9,7,3,0,0
AMQ,AMQ-299,https://issues.apache.org/jira/browse/AMQ-299,No patch,AMQ-299,No patch,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,releaseRef,fixed,2.208333333,0,0,0,0,0,0,0
AMQ,AMQ-3007,https://issues.apache.org/jira/browse/AMQ-3007,https://fisheye.apache.org/rdiff/activemq-6?csid=d650d0c7e1e700316a34baee889fbd948c30da72&u&N,AMQ-3007,AMQ-3007,Resource,File handle,Runtime detection,Runtime,exception,java,disposeExcep,Add exception block,0.3852727315,1,2,2,0,1,0,0
AMQ,AMQ-3016,https://issues.apache.org/jira/browse/AMQ-3016,https://fisheye.apache.org/rdiff/activemq-6?csid=5c20b8ed72d49c2d5200aeeff04aa79208840121&u&N,AMQ-3016,AMQ-3016,Resource,Connection,Runtime detection,Out-of-memory error,concurrency,java,threadSafe,Remove unused statements,733.0758622,1,1,0,1,1,0,0
AMQ,AMQ-3021,https://issues.apache.org/jira/browse/AMQ-3021,https://issues.apache.org/jira/secure/attachment/12461849/patch.txt,AMQ-3021,AMQ-3021,Memory,Memory,Runtime detection,Out-of-memory error,collection,java,removeElm,Complex,2.795289248,1,80,45,35,1,0,0
AMQ,AMQ-3033,https://issues.apache.org/jira/browse/AMQ-3033,https://fisheye.apache.org/rdiff/activemq-6?csid=ccd2e94f4ef16556071d3e4938e3e4dc5d45dd01&u&N,AMQ-3033,AMQ-3033,Resource,Thread,Runtime detection,Runtime,unreleasedRef,java,disposeReg,Add an initilization object,31.80094646,1,2,1,1,1,0,0
AMQ,AMQ-3038,https://issues.apache.org/jira/browse/AMQ-3038,https://fisheye.apache.org/rdiff/activemq-6/activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java?r1=9c78797f5de12b4d81e7c75e3e505eadc047d6c3&r2=4e33fb114bba828af335be3bcf849116dd8587f2&u&N,AMQ-3038,AMQ-3038,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add call to dispose function,66.10159779,1,4,4,0,1,0,0
AMQ,AMQ-3052,https://issues.apache.org/jira/browse/AMQ-3052,https://fisheye.apache.org/rdiff/activemq-6?csid=9862d93d95745937d0f9eb3012a0e23542ad27a6&u&N,AMQ-3052,AMQ-3052,Memory,Memory,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add try-exception block,0.002079560189,1,8,7,1,1,0,0
AMQ,AMQ-322,https://issues.apache.org/jira/browse/AMQ-322,No leak,AMQ-322,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-3316,https://issues.apache.org/jira/browse/AMQ-3316,https://issues.apache.org/jira/secure/attachment/12478863/connectionstatetracker_fixed.patch,AMQ-3316,AMQ-3316,Memory,Memory,Runtime detection,Runtime,cache,java,removeElm,Add a checker,0.02704466436,1,2,2,0,1,0,0
AMQ,AMQ-3451,https://issues.apache.org/jira/browse/AMQ-3451,https://issues.apache.org/jira/secure/attachment/12543650/AMQ-3541-3.patch,AMQ-3451,AMQ-3451,Resource,Thread,Runtime detection,Warning message,nonClosedRes,java,threadDown,Complex,391.514752,12,197,128,69,12,0,0
AMQ,AMQ-3529,https://issues.apache.org/jira/browse/AMQ-3529,https://fisheye.apache.org/rdiff/activemq-6?csid=0a12bcb928f151b5ace9a0cffc34ec717b6a8e9c&u&N,AMQ-3529,AMQ-3529,Resource,Connection,Runtime detection,Failed test,exception,java,disposeExcep,Complex,22.30921764,13,150,87,63,13,0,0
AMQ,AMQ-3547,https://issues.apache.org/jira/browse/AMQ-3547,https://fisheye.apache.org/rdiff/activemq-6?csid=83fde0b2a030332e0c3ce9b5518e84aab0f41e72&u&N,AMQ-3547,AMQ-3547,Resource,Connection,Runtime detection,Failed test,exception,java,disposeExcep,Add a checker,11.56312613,1,15,9,6,1,0,0
AMQ,AMQ-3577,https://issues.apache.org/jira/browse/AMQ-3577,No patch,AMQ-3577,No patch,Resource,Connection,Runtime detection,Out-of-memory error,exception,java,disposeExcep,fixed,0.05257719907,0,0,0,0,0,0,0
AMQ,AMQ-3665,https://issues.apache.org/jira/browse/AMQ-3665,https://issues.apache.org/jira/secure/attachment/12511493/AMQ-3665.patch,AMQ-3665,AMQ-3665,Memory,Memory,Runtime detection,Out-of-memory error,cache,java,others,Complex,5.963998032,2,30,17,13,2,0,0
AMQ,AMQ-3680,https://issues.apache.org/jira/browse/AMQ-3680,https://fisheye.apache.org/rdiff/activemq-6?csid=6687d567c7eab1c8f9876fba9b43d66c5700f257&u&N,AMQ-3680,AMQ-3680,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Complex,79.84414919,4,98,76,22,3,1,0
AMQ,AMQ-3716,https://issues.apache.org/jira/browse/AMQ-3716,http://svn.apache.org/viewvc/activemq/trunk/activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java?r1=1244116&r2=1244115&pathrev=1244116&view=patch,AMQ-3716,AMQ-3716,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add call to dispose function,0.838380787,1,1,1,0,1,0,0
AMQ,AMQ-3737,https://issues.apache.org/jira/browse/AMQ-3737,https://fisheye.apache.org/rdiff/activemq-6?csid=2290502bc996706d19f096e3ed3f566b61706af3&u&N,AMQ-3737,AMQ-3737,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Complex,0.03247252315,1,12,6,6,1,0,0
AMQ,AMQ-3956,https://issues.apache.org/jira/browse/AMQ-3956,No leak,AMQ-3956,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-3962,https://issues.apache.org/jira/browse/AMQ-3962,https://issues.apache.org/jira/secure/attachment/12539147/patch.txt,AMQ-3962,AMQ-3962,Resource,Thread,Runtime detection,Out-of-memory error,nonClosedRes,java,threadDown,Add try-exception block,35.10842993,1,11,11,0,1,0,0
AMQ,AMQ-3994,https://issues.apache.org/jira/browse/AMQ-3994,https://fisheye.apache.org/rdiff/activemq-6?csid=6e0aa4fb80118eda6680a69f71cb5608d76fb810&u&N,AMQ-3994,AMQ-3994,Resource,Connection,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Modify branch condition,14.11611079,1,32,14,18,1,0,0
AMQ,AMQ-3997,https://issues.apache.org/jira/browse/AMQ-3997,https://fisheye.apache.org/rdiff/activemq-6?csid=b496c0a38c11c56ffd56a4c45b8c83fc5591776a&u&N,AMQ-3997,AMQ-3997,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Complex,0.08300563657,3,38,20,18,3,0,0
AMQ,AMQ-407,https://issues.apache.org/jira/browse/AMQ-407,properties.xml,AMQ-407,AMQ-407,Resource,Thread,Runtime detection,Out-of-memory error,nonClosedRes,xml,others,Modify configuration,125.9233449,0,0,0,0,0,0,0
AMQ,AMQ-4094,https://issues.apache.org/jira/browse/AMQ-4094,No leak,AMQ-4094,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-4182,https://issues.apache.org/jira/browse/AMQ-4182,https://fisheye.apache.org/rdiff/activemq-6/activemq-client/src/main/java/org/apache/activemq/command/ActiveMQBytesMessage.java?r1=cb5c29d02d02dc7f7fa4f5c1a97bd2a59078bccd&r2=44bb9fbeaec91ea4fd81bbc387706c45229185a7&u&N,AMQ-4182,AMQ-4182,Resource,File handle,Runtime detection,Failed test,nonClosedRes,java,disposeReg,Complex,518.8032368,1,171,83,88,1,0,0
AMQ,AMQ-4370,https://issues.apache.org/jira/browse/AMQ-4370,No patch,AMQ-4370,No patch,Memory,Memory,Runtime detection,Failed test,concurrency,java,threadSafe,fixed,6.678178484,0,0,0,0,0,0,0
AMQ,AMQ-4531,https://issues.apache.org/jira/browse/AMQ-4531,https://fisheye.apache.org/rdiff/activemq-6?csid=e731c39af7b4bdd9e2e2947b0a11db0b1173eb75&u&N,AMQ-4531,AMQ-4531,Resource,File handle,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add a checker,0.03060491898,1,55,30,25,1,0,0
AMQ,AMQ-4731,https://issues.apache.org/jira/browse/AMQ-4731,No patch,AMQ-4731,No patch,Memory,Memory,Runtime detection,Failed test,collection,java,removeElm,fixed,5.882993345,0,0,0,0,0,0,0
AMQ,AMQ-4814,https://issues.apache.org/jira/browse/AMQ-4814,https://fisheye.apache.org/rdiff/activemq-6?csid=7a68ad5d987caa20e6517beb12ee67d538b2ee08&u&N,AMQ-4814,AMQ-4814,Memory,Memory,Runtime detection,Failed test,unreleasedRef,java,releaseRef,Complex,626.5863279,2,8,6,2,2,0,0
AMQ,AMQ-4955,https://issues.apache.org/jira/browse/AMQ-4955,No patch,AMQ-4955,No patch,Resource,Connection,Runtime detection,Failed test,exception,java,disposeExcep,fixed,521.0751431,0,0,0,0,0,0,0
AMQ,AMQ-4977,https://issues.apache.org/jira/browse/AMQ-4977,https://fisheye.apache.org/rdiff/activemq-6?csid=383232ea048d5abceec6b7ef28fe1301eca1a17a&u&N,AMQ-4977,AMQ-4977,Memory,Memory,Runtime detection,Runtime,cache,java,removeElm,Complex,0.7763923958,2,57,46,11,2,0,0
AMQ,AMQ-5051,https://issues.apache.org/jira/browse/AMQ-5051,https://fisheye.apache.org/rdiff/activemq-6?csid=a059bf4a9013539899bfdf49aebd868b867e2b82&u&N,AMQ-5051,AMQ-5051,Resource,Connection,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Remove unused statements,0.01346085648,1,11,9,2,1,0,0
AMQ,AMQ-5423,https://issues.apache.org/jira/browse/AMQ-5423,https://fisheye.apache.org/rdiff/activemq-6?csid=52d95ee01cf57ad5cba63a8d2c809948aa432990&u&N,AMQ-5423,AMQ-5423,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add call to dispose function,0.03402005787,1,6,4,2,1,0,0
AMQ,AMQ-5484,https://issues.apache.org/jira/browse/AMQ-5484,https://fisheye.apache.org/rdiff/activemq-6?csid=9bd070a8f6337a3452a8529a0647970cc8c6deae&u&N,AMQ-5484,AMQ-5484,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add call to dispose function,0.0540313426,1,2,2,0,1,0,0
AMQ,AMQ-5555,https://issues.apache.org/jira/browse/AMQ-5555,https://fisheye.apache.org/rdiff/activemq-6?csid=f91abd3d46ac1f7ded399ce3bbc36fdfb70a91cb&u&N,AMQ-5555,AMQ-5555,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Complex,44.73580166,4,162,106,56,3,1,0
AMQ,AMQ-5723,https://issues.apache.org/jira/browse/AMQ-5723,https://fisheye.apache.org/rdiff/activemq-6?csid=b3bf8e74f29bf30930da20c503ce11b3b780deaf&u&N,AMQ-5723,AMQ-5723,Memory,Memory,Source code-based detection,Manual code inspection,callSchedule,java,releaseRef,Complex,0.008909988428,1,3,2,1,1,0,0
AMQ,AMQ-5745,https://issues.apache.org/jira/browse/AMQ-5745,https://patch-diff.githubusercontent.com/raw/apache/activemq/pull/118.patch,AMQ-5745,AMQ-5745,Resource,File handle,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add try-finally block,64.61814253,21,395,209,186,21,0,0
AMQ,AMQ-5773,https://issues.apache.org/jira/browse/AMQ-5773,https://git-wip-us.apache.org/repos/asf?p=activemq.git;a=patch;h=7c11663;hp=b9b27b968b53748cfaf0520f45609097c2879db7,AMQ-5773,AMQ-5773,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add call to dispose function,320.3729759,1,1,1,0,1,0,0
AMQ,AMQ-5817,https://issues.apache.org/jira/browse/AMQ-5817,https://fisheye.apache.org/rdiff/activemq-6?csid=9de3fff1f5c7741e8b22d821aadc4225cd3500a4&u&N,AMQ-5817,AMQ-5817,Resource,File handle,Runtime detection,Failed test,nonClosedRes,scala,disposeReg,Complex,259.9960655,0,0,0,0,0,0,0
AMQ,AMQ-6010,https://issues.apache.org/jira/browse/AMQ-6010,https://fisheye.apache.org/rdiff/activemq-6?csid=95a9a8035145bea04126e924a38ba133a2d6f7e4&u&N,AMQ-6010,AMQ-6010,Memory,Memory,Runtime detection,Warning message,exception,java,disposeExcep,Complex,0.7915279282,1,1,1,0,1,0,0
AMQ,AMQ-6051,https://issues.apache.org/jira/browse/AMQ-6051,https://patch-diff.githubusercontent.com/raw/apache/activemq/pull/157.diff,AMQ-6051,AMQ-6051,Resource,Thread,Runtime detection,Runtime,exception,java,disposeExcep,Add try-finally block,0.8066173495,1,34,18,16,1,0,0
AMQ,AMQ-6094,https://issues.apache.org/jira/browse/AMQ-6094,https://fisheye.apache.org/rdiff/activemq-6?csid=6f8942387e98f3dd41612dc331fa72f3fa718613&u&N,AMQ-6094,AMQ-6094,Memory,Memory,Runtime detection,Failed test,unreleasedRef,java,releaseRef,Add call to dispose function,18.28957956,1,1,1,0,1,0,0
AMQ,AMQ-683,https://issues.apache.org/jira/browse/AMQ-683,https://fisheye.apache.org/rdiff/activemq-6?csid=2373eb2d22db60b179c2a3a63e7c48e93c8aab53&u&N,AMQ-683,AMQ-683,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Replace function,3.266261574,1,4,2,2,1,0,0
AMQ,AMQ-835,https://issues.apache.org/jira/browse/AMQ-835,https://fisheye.apache.org/rdiff/activemq-6?csid=ea35563b49e11ff9ce5c7aca70bc2dbbc58853e2&u&N,AMQ-835,AMQ-835,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add try-finally block,0.03744212963,1,69,37,32,1,0,0
AMQ,AMQ-847,https://issues.apache.org/jira/browse/AMQ-847,https://fisheye.apache.org/rdiff/activemq-6?csid=acd599606e4d72f6d83342b9c561bc324fa502cf&u&N,AMQ-847,AMQ-847,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add call to dispose function,214.7494507,4,17,12,5,4,0,0
AMQ,AMQ-889,https://issues.apache.org/jira/browse/AMQ-889,https://fisheye.apache.org/rdiff/activemq-6?csid=e8c8abcd5bd1d8fe28a6afd84e818ba0bda062c1&u&N,AMQ-889,AMQ-889,Memory,Memory,Runtime detection,Runtime,concurrency,java,threadSafe,Complex,3.346261574,3,67,46,21,3,0,0
AMQ,AMQ-932,https://issues.apache.org/jira/browse/AMQ-932,https://fisheye.apache.org/rdiff/activemq-6?csid=4b595ea6dc2d0bd3dcd7e80d0ddb670ead17245d&u&N,AMQ-932,AMQ-932,Memory,Memory,Runtime detection,Runtime,exception,java,disposeExcep,Complex,4.169143519,2,138,87,51,2,0,0
CASSANDRA,CASSANDRA-10058,https://issues.apache.org/jira/browse/CASSANDRA-10058,https://issues.apache.org/jira/secure/attachment/12750191/CASSANDRA-10058-2.2.txt,CASSANDRA-10058,CASSANDRA-10058,Memory,Memory,Runtime detection,Warning message,unreleasedRef,java,releaseRef,Complex,89.72461557,3,112,73,39,3,0,0
CASSANDRA,CASSANDRA-10079,https://issues.apache.org/jira/browse/CASSANDRA-10079,https://github.com/apache/cassandra/commit/17082d4b54c89fd34f81400e0002fff67c30f150.patch,CASSANDRA-10079,CASSANDRA-10079,Resource,Thread,Runtime detection,Warning message,nonClosedRes,java,threadDown,Add dispose function,73.05364497,2,28,21,7,2,0,0
CASSANDRA,CASSANDRA-10150,https://issues.apache.org/jira/browse/CASSANDRA-10150,No leak,CASSANDRA-10150,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-10543,https://issues.apache.org/jira/browse/CASSANDRA-10543,https://mail-archives.apache.org/mod_mbox/cassandra-commits/201510.mbox/raw/%3C11a19eb6b17e4c4280a10fe6a848ede6@git.apache.org%3E/,CASSANDRA-10543,CASSANDRA-10543,Memory,Memory,Source code-based detection,Manual code inspection,unreleasedRef,java,releaseRef,Complex,0.2647857523,7,61,32,29,6,1,0
CASSANDRA,CASSANDRA-10688,https://issues.apache.org/jira/browse/CASSANDRA-10688,No leak,CASSANDRA-10688,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-10697,https://issues.apache.org/jira/browse/CASSANDRA-10697,https://github.com/krummas/cassandra/commit/221d609f6c6d56642fbde7978ac162f241b20f57.patch,CASSANDRA-10697,CASSANDRA-10697,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,releaseRef,Add a checker,89.99843696,2,9,8,1,2,0,0
CASSANDRA,CASSANDRA-1081,https://issues.apache.org/jira/browse/CASSANDRA-1081,https://issues.apache.org/jira/secure/attachment/12444944/CASSANDRA-1081.patch,CASSANDRA-1081,CASSANDRA-1081,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,disposeReg,Add dispose function,7.681358553,1,17,15,2,1,0,0
CASSANDRA,CASSANDRA-10837,https://issues.apache.org/jira/browse/CASSANDRA-10837,https://issues.apache.org/jira/secure/attachment/12777974/10837-3.0-v4.txt,CASSANDRA-10837,CASSANDRA-10837,Resource,Thread,Runtime detection,Warning message,nonClosedRes,java,disposeReg,Complex,7.506779155,2,95,38,57,2,0,0
CASSANDRA,CASSANDRA-11083,https://issues.apache.org/jira/browse/CASSANDRA-11083,No leak,CASSANDRA-11083,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-11084,https://issues.apache.org/jira/browse/CASSANDRA-11084,No leak,CASSANDRA-11084,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-11085,https://issues.apache.org/jira/browse/CASSANDRA-11085,No leak,CASSANDRA-11085,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-11086,https://issues.apache.org/jira/browse/CASSANDRA-11086,No leak,CASSANDRA-11086,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-11215,https://issues.apache.org/jira/browse/CASSANDRA-11215,https://github.com/krummas/cassandra/commit/477014b8cddb8cf1a73a7e8b408f130b64a37c6b.patch,CASSANDRA-11215,CASSANDRA-11215,Memory,Memory,Runtime detection,Warning message,concurrency,java,releaseRef,Add try-with-resource construct,7.951158981,1,56,33,23,1,0,0
CASSANDRA,CASSANDRA-11867,https://issues.apache.org/jira/browse/CASSANDRA-11867,https://git1-us-west.apache.org/repos/asf?p=cassandra.git;a=patch;h=ffd10a9b,CASSANDRA-11867,CASSANDRA-11867,Memory,Memory,Source code-based detection,Manual code inspection,unreleasedRef,java,releaseRef,Add call to dispose function,2.859513611,1,6,4,2,1,0,0
CASSANDRA,CASSANDRA-1416,https://issues.apache.org/jira/browse/CASSANDRA-1416,https://issues.apache.org/jira/secure/attachment/12452661/1416.txt,CASSANDRA-1416,CASSANDRA-1416,Resource,File handle,Source code-based detection,Manual code inspection,nonClosedRes,java,disposeReg,Add null statements,0.007414594904,1,5,4,1,1,0,0
CASSANDRA,CASSANDRA-1665,https://issues.apache.org/jira/browse/CASSANDRA-1665,https://issues.apache.org/jira/secure/attachment/12458109/trunk-1665.txt,CASSANDRA-1665,CASSANDRA-1665,Resource,Thread,Source code-based detection,Manual code inspection,nonClosedRes,java,threadDown,Add dispose function,0.1106227662,2,14,13,1,2,0,0
CASSANDRA,CASSANDRA-2708,https://issues.apache.org/jira/browse/CASSANDRA-2708,https://issues.apache.org/jira/secure/attachment/12480452/cassandra-0.7-2708.txt,CASSANDRA-2708,CASSANDRA-2708,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,weakRef,Use another collection,89.03991054,1,3,2,1,1,0,0
CASSANDRA,CASSANDRA-283,https://issues.apache.org/jira/browse/CASSANDRA-283,No patch,CASSANDRA-283,No patch,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,disposeReg,fixed,4.890115775,0,0,0,0,0,0,0
CASSANDRA,CASSANDRA-2868,https://issues.apache.org/jira/browse/CASSANDRA-2868,https://issues.apache.org/jira/secure/attachment/12490554/2868-v3.txt,CASSANDRA-2868,CASSANDRA-2868,Memory,Memory,Runtime detection,Runtime,jni,java,correctAPI,Use non-leaky api,47.25021417,2,143,39,104,2,0,0
CASSANDRA,CASSANDRA-313,https://issues.apache.org/jira/browse/CASSANDRA-313,https://github.com/apache/cassandra/commit/8d4b161f09445357a0ce5ea8b874ec31032b9bbe.patch,CASSANDRA-313,CASSANDRA-313,Resource,File handle,Source code-based detection,Manual code inspection,nonClosedRes,java,disposeReg,Add call to dispose function,0.007580081015,1,1,1,0,1,0,0
CASSANDRA,CASSANDRA-3616,https://issues.apache.org/jira/browse/CASSANDRA-3616,https://issues.apache.org/jira/secure/attachment/12507568/3616.patch,CASSANDRA-3616,CASSANDRA-3616,Resource,File handle,Runtime detection,Runtime,callSchedule,java,disposeReg,Add a checker,6.472846748,1,9,6,3,1,0,0
CASSANDRA,CASSANDRA-4708,https://issues.apache.org/jira/browse/CASSANDRA-4708,https://issues.apache.org/jira/secure/attachment/12546260/0001-MessagingService-don-t-use-NBHM-in-ExpiringMap.patch,CASSANDRA-4708,CASSANDRA-4708,Memory,Memory,Runtime detection,Runtime,wrongAPI,java,correctAPI,Use another collection,0.3345547454,1,4,2,2,1,0,0
CASSANDRA,CASSANDRA-5144,https://issues.apache.org/jira/browse/CASSANDRA-5144,No leak,CASSANDRA-5144,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
